States,$,<=,<>,do,integer,while,rea,number,character,else,function,id,write,if,read,%,&,(,),*,then,+,real,-,/,str,:,;,<,begin,=,>,>=,:=,bor,string,bool,lon,long,array,and,of,end,[,],^,or,procedure,int,comma,boolean,char,return,~,BULK_ASSIGNMENT,A,B,C,D,FUNCTION_CALL,E,F,VAR_DCL,LOOP,G,BINARY_OP,,H,I,J,FUNC_DEF,SIMPLE_VAR,UNARY_OP,EXPR,ASSIGNMENT,ARGUMENT,MAIN,ID,TYPE,BLOCK,CONSTANT,ARRAY_DIMENSION,STMT,CONDITIONAL,PROC_DEF,ARRAY_VAR
159,REDUCE D,ERROR,ERROR,REDUCE D,ERROR,ERROR,REDUCE D,ERROR,ERROR,ERROR,REDUCE D,REDUCE D,ERROR,ERROR,ERROR,ERROR,ERROR,REDUCE D,REDUCE D,ERROR,REDUCE D,ERROR,ERROR,REDUCE D,ERROR,REDUCE D,ERROR,REDUCE D,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,REDUCE D,REDUCE D,ERROR,ERROR,REDUCE D,ERROR,ERROR,ERROR,REDUCE D,SHIFT S160 NoSem,REDUCE D,REDUCE D,REDUCE D,REDUCE D,ERROR,REDUCE D,REDUCE D,ERROR,REDUCE D,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
160,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S161 NoSem,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S161 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S161 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S161 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S161 NoSem,PUSH_GOTO S161 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S161 NoSem,ERROR,ERROR,PUSH_GOTO S161 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,GOTO S159 @XOR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
161,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S164 NoSem,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S164 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S164 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S164 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S164 NoSem,PUSH_GOTO S164 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S164 NoSem,ERROR,ERROR,PUSH_GOTO S164 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,GOTO S162 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
162,REDUCE E,ERROR,ERROR,REDUCE E,ERROR,ERROR,REDUCE E,ERROR,ERROR,ERROR,REDUCE E,REDUCE E,ERROR,ERROR,ERROR,ERROR,SHIFT S163 NoSem,REDUCE E,REDUCE E,ERROR,REDUCE E,ERROR,ERROR,REDUCE E,ERROR,REDUCE E,ERROR,REDUCE E,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,REDUCE E,REDUCE E,ERROR,ERROR,REDUCE E,ERROR,ERROR,ERROR,REDUCE E,REDUCE E,REDUCE E,REDUCE E,REDUCE E,REDUCE E,ERROR,REDUCE E,REDUCE E,ERROR,REDUCE E,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
163,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S164 NoSem,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S164 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S164 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S164 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S164 NoSem,PUSH_GOTO S164 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S164 NoSem,ERROR,ERROR,PUSH_GOTO S164 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,GOTO S162 @BAND,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
164,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S168 NoSem,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S168 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S168 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S168 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S168 NoSem,PUSH_GOTO S168 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S168 NoSem,ERROR,ERROR,PUSH_GOTO S168 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,GOTO S165 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
165,REDUCE F,ERROR,SHIFT S166 NoSem,REDUCE F,ERROR,ERROR,REDUCE F,ERROR,ERROR,ERROR,REDUCE F,REDUCE F,ERROR,ERROR,ERROR,ERROR,REDUCE F,REDUCE F,REDUCE F,ERROR,REDUCE F,ERROR,ERROR,REDUCE F,ERROR,REDUCE F,ERROR,REDUCE F,ERROR,ERROR,SHIFT S167 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,REDUCE F,REDUCE F,ERROR,ERROR,REDUCE F,ERROR,ERROR,ERROR,REDUCE F,REDUCE F,REDUCE F,REDUCE F,REDUCE F,REDUCE F,ERROR,REDUCE F,REDUCE F,ERROR,REDUCE F,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
166,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S168 NoSem,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S168 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S168 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S168 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S168 NoSem,PUSH_GOTO S168 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S168 NoSem,ERROR,ERROR,PUSH_GOTO S168 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,GOTO S165 @NEQ,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
167,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S168 NoSem,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S168 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S168 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S168 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S168 NoSem,PUSH_GOTO S168 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S168 NoSem,ERROR,ERROR,PUSH_GOTO S168 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,GOTO S165 @EQ,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
168,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S174 NoSem,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S174 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S174 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S174 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S174 NoSem,PUSH_GOTO S174 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,PUSH_GOTO S174 NoSem,ERROR,ERROR,PUSH_GOTO S174 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,GOTO S169 NoSem,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
